date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2011-01-09 | 1.000
2011-01-09 | 0
2011-01-09 | 1000
2011-01-09 | 1001
2012-01-11 | -1
2012-01-11 | -0.5
2012-01-11 | 2147483648
2012-01-11 | 42.42
2012-01-11 | 1e2
2011-01-03|1
2011-01-03 |1
2011-01-03| 1
2011-01-03    |     1
2011-01-03 |      5
2011-01-03 |      -5
2011-01-03 | abc
2011-01-03 | 1.2.3
2011-01-03 | 999999999999
2011-01-03 | 
2011-01-03 |
2011-01-03
2011-01-03 || 5
2011-01-03 | 5 |
| 5
| 
2011-01-03 | +5
2011-01-03 | -0
2011-01-03 | 0005
2011-01-03 | 0000.5
2011-01-03 | 3.1415926535
2011-01-03 | 0.0000001
2000-01-01 | 5
2009-01-02 | 5
2013-12-31 | 5
2012-13-01 | 1
2012-00-10 | 1
2012-02-30 | 1
2012-04-31 | 1
2012-11-31 | 1
2012-01-32 | 1
2012-01-00 | 1
2012-1-01 | 1
2012-01-1 | 1
2012/01/01 | 1
2012-01-01 | 1
